player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jabari Parker,parkeja01,2022,165,79,-.4663853622814557,-3.438789774238354,-3.905175136519809,-.1016518543125239,-4.251420807605746,-4.35307266191827,-.415064224301738,-3.887779880121279,-4.302844104423017,-.0630110569511702,-.0630110569511702,0,-1.504547844630679,-4.021705563620078,-5.526253408250757,.6757184661560488
Eric Paschall,pascher01,2022,472,230,-.0067330427034534,-1.4283906244396,-1.435123667143054,-8.250782220990668,-.2952039056052961,-8.545986126595965,-1.779735907278871,-1.314953730972021,-3.094689638250892,-.0399971856131481,-.0399971856131481,0,-2.291231542394371,-2.660853961461241,-4.952085503855612,-1.115723710932799
Chris Paul,paulch01,2022,1637,778,4.06622524932084,-1.321746928759199,2.744478320561641,2.148539295817145,-2.278305354962281,-.1297660591451364,3.881331075581895,-1.661028248475714,2.220302827106181,1.964923713615751,1.964923713615751,0,3.5634595018447,-.0584934824797006,3.504966019365,-.4042626984738346
Cameron Payne,payneca01,2022,753,346,.8153377645031082,1.950900193587428,2.766237958090536,-6.984722282005287,4.580775326230599,-2.403946955774688,-.8458277854832459,2.555970405238932,1.710142619755686,.7907644074376823,.7907644074376823,0,-.9362871334845825,1.999721143631871,1.063434010147289,.4347473714634899
Elfrid Payton,paytoel01,2022,256,117,-1.221438067474098,-2.641720131857207,-3.863158199331306,-6.266651021245885,-7.344856719697691,-13.61150774094358,-2.361661317617415,-3.818714096561628,-6.180375414179043,-.204372653473563,-.204372653473563,0,-2.715547705590958,-3.1546653170446,-5.870213022635558,-.1946468821357141
Gary Payton II,paytoga02,2022,732,339,2.951723822086948,7.484214222611122,10.43593804469807,4.812785470576183,8.529198521998094,13.34198399257428,3.476560844030894,8.062776978299155,11.53933782233005,2.481666118551786,2.481666118551786,0,3.299922972591844,8.700313749905915,12.00023672249776,.4137457282145749
Jamorko Pickett,pickeja01,2022,18,9,-4.124069358583026,-.0030903355086886,-4.127159694091715,-4.638339492980813,30.19657397259462,25.55823447961381,-4.445302609638943,6.386676867581051,1.941374257942108,.021510127399372,.021510127399372,0,-5.913514796424749,-.6231086412279925,-6.536623437652742,-.1474418502363192
Mason Plumlee,plumlma01,2022,1112,523,-1.970128028125533,-1.554243410702502,-3.524371438828036,-6.071640946603135,4.119582731932712,-1.952058214670423,-2.976259390177656,-.3931757885059022,-3.369435178683558,-.1650963490217229,-.1650963490217229,0,-2.358316328956407,-.4603411886082568,-2.818657517564664,-.1153207333032399
Jakob Poeltl,poeltja01,2022,975,467,.9976823183726121,2.356369890491952,3.354052208864564,5.254179568349238,-3.791315643831284,1.462863924517953,1.969115428938286,1.20222086149451,3.171336290432797,1.401908135487043,1.401908135487043,0,2.262406550051462,1.45739625464885,3.719802804700311,-.6336615484435206
Aleksej Pokusevski,pokusal01,2022,701,336,-4.655934578457025,-.6666998249572494,-5.322634403414274,-6.014374478725678,2.951337873186287,-3.06303660553939,-5.097600821379387,.1062866409477184,-4.991314180431668,-.3843292589649382,-.3843292589649382,0,-4.757038998379203,-.9324785176378113,-5.689517516017014,.0278924058758764
Yves Pons,ponsyv01,2022,8,4,-9.478340980715892,-1.997256030246584,-11.47559701096248,-32.30786695479487,-11.60927901734458,-43.91714597213945,-14.79157548027854,-4.115543537121546,-18.90711901740008,-.0323592753742897,-.0323592753742897,0,-7.122323742412563,-5.849171913108212,-12.97149565552078,-1.864789167199272
