player_name,player_id,MPG
Lucas Nogueira,noguelu01,7.8
Steve Novak,novakst01,4.4
Steve Novak,novakst01,3.4
Steve Novak,novakst01,6.7
Dirk Nowitzki,nowitdi01,31.5
Jusuf Nurkić,nurkiju01,17.1
J.J. O'Brien,obriejj01,3
Johnny O'Bryant,obryajo01,13
Kyle O'Quinn,oquinky01,11.8
Jahlil Okafor,okafoja01,30
Victor Oladipo,oladivi01,33
Kelly Olynyk,olynyke01,20.2
Kelly Oubre Jr.,oubreke01,10.7
Zaza Pachulia,pachuza01,26.4
Kostas Papanikolaou,papanko01,11.3
Jabari Parker,parkeja01,31.7
Tony Parker,parketo01,27.5
Chandler Parsons,parsoch01,29.5
Lamar Patterson,pattela01,11.3
Patrick Patterson,pattepa01,25.6
Chris Paul,paulch01,32.7
Adreian Payne,paynead01,9.3
Cameron Payne,payneca01,12.2
Elfrid Payton,paytoel01,29.4
Nikola Peković,pekovni01,13
Kendrick Perkins,perkike01,14.6
Paul Pierce*,piercpa01,18.1
Tibor Pleiß,pleisti01,6.8
Mason Plumlee,plumlma01,25.4
Miles Plumlee,plumlmi01,14.3
Otto Porter,porteot01,30.3
Bobby Portis,portibo01,17.8
Kristaps Porziņģis,porzikr01,28.4
Dwight Powell,poweldw01,14.4
Norman Powell,powelno01,14.8
Phil Pressey,pressph01,12.3
Phil Pressey,pressph01,12.1
Phil Pressey,pressph01,12.6
Ronnie Price,pricero01,19.5
Pablo Prigioni,prigipa01,13.9
Tayshaun Prince,princta01,19
Julius Randle,randlju01,28.2
Zach Randolph,randoza01,29.6
J.J. Redick,redicjj01,28
Willie Reed,reedwi02,10.9
Josh Richardson,richajo01,21.3
Austin Rivers,riverau01,21.9
Andre Roberson,roberan03,22.2
Brian Roberts,roberbr01,9.2
Brian Roberts,roberbr01,11.1
Brian Roberts,roberbr01,6.5
Glenn Robinson III,robingl02,11.3
Nate Robinson,robinna01,11.5
Thomas Robinson,robinth01,12.9
Rajon Rondo,rondora01,35.2
Derrick Rose,rosede01,31.8
Terrence Ross,rosste01,23.9
Terry Rozier,roziete01,8
Ricky Rubio,rubiori01,30.6
Damjan Rudež,rudezda01,8.4
Brandon Rush,rushbr01,14.7
D'Angelo Russell,russeda01,28.2
Robert Sacre,sacrero01,12.8
JaKarr Sampson,sampsja02,15.9
JaKarr Sampson,sampsja02,14.7
JaKarr Sampson,sampsja02,18
Dennis Schröder,schrode01,20.3
Luis Scola,scolalu01,21.5
Mike Scott,scottmi01,15.3
Thabo Sefolosha,sefolth01,23.4
Kevin Séraphin,serapke01,11
Ramon Sessions,sessira01,20.3
Iman Shumpert,shumpim01,24.4
Jonathon Simmons,simmojo02,14.8
Henry Sims,simshe01,18.8
Kyle Singler,singlky01,14.4
Donald Sloan,sloando01,21.6
Marcus Smart,smartma01,27.3
Greg Smith,smithgr02,10.7
Ish Smith,smithis01,29.1
Ish Smith,smithis01,22.9
Ish Smith,smithis01,32.4
J.R. Smith,smithjr01,30.7
Jason Smith,smithja02,15.5
Josh Smith,smithjo03,16
Josh Smith,smithjo03,14.3
Josh Smith,smithjo03,18.3
Russ Smith,smithru01,4.4
Tony Snell,snellto01,20.3
Marreese Speights,speigma01,11.6
Tiago Splitter,splitti01,16.1
Nik Stauskas,stausni01,24.8
Lance Stephenson,stephla01,19.9
Lance Stephenson,stephla01,15.8
Lance Stephenson,stephla01,26.6
Alex Stepheson,stephal01,9.1
Alex Stepheson,stephal01,3
Alex Stepheson,stephal01,15.3
Jarnell Stokes,stokeja01,2.6
Jarnell Stokes,stokeja01,2
Jarnell Stokes,stokeja01,2.8
Amar'e Stoudemire,stoudam01,14.7
Rodney Stuckey,stuckro01,22
Jared Sullinger,sullija01,23.6
Edy Tavares,tavarwa01,6.6
Jeff Teague,teaguje01,28.5
Mirza Teletović,teletmi01,21.3
Garrett Temple,templga01,24.4
Jason Terry,terryja01,17.5
Isaiah Thomas,thomais02,32.2
Lance Thomas,thomala01,22.3
Hollis Thompson,thompho01,28
Jason Thompson,thompja02,10
Jason Thompson,thompja02,6.4
Jason Thompson,thompja02,15.4
Klay Thompson,thompkl01,33.3
Tristan Thompson,thomptr01,27.7
Marcus Thornton,thornma01,18.2
Marcus Thornton,thornma01,18.8
Marcus Thornton,thornma01,16
Anthony Tolliver,tollian01,18.6
Axel Toupane,toupaax01,14.5
Karl-Anthony Towns,townska01,32
P.J. Tucker,tuckepj01,31
Evan Turner,turneev01,28
Myles Turner,turnemy01,22.8
Beno Udrih,udrihbe01,16.1
Beno Udrih,udrihbe01,15
Beno Udrih,udrihbe01,16.3
Jonas Valančiūnas,valanjo01,26
Anderson Varejão,varejan01,9.4
Anderson Varejão,varejan01,10
Anderson Varejão,varejan01,8.5
Greivis Vásquez,vasqugr01,20
Rashad Vaughn,vaughra01,14.3
Charlie Villanueva,villach01,10.7
Noah Vonleh,vonleno01,15.1
Nikola Vučević,vucevni01,31.3
Sasha Vujačić,vujacsa01,14.9
Dwyane Wade,wadedw01,30.5
Dion Waiters,waitedi01,27.6
Kemba Walker,walkeke02,35.6
John Wall,walljo01,36.2
T.J. Warren,warretj01,22.8
C.J. Watson,watsocj01,19.9
Briante Weber,weberbr01,24.1
Briante Weber,weberbr01,27.7
Briante Weber,weberbr01,3
Sonny Weems,weemsso01,11.6
Sonny Weems,weemsso01,11.7
Sonny Weems,weemsso01,11.1
David West,westda01,18
Russell Westbrook,westbru01,34.4
Hassan Whiteside,whiteha01,29.1
Shayne Whittington,whittsh01,5.9
Andrew Wiggins,wiggian01,35.1
C.J. Wilcox,wilcocj01,7.3
Alan Williams,willial03,6.8
Deron Williams,willide01,32.4
Derrick Williams,willide02,17.9
Elliot Williams,williel01,9
Lou Williams,willilo02,28.5
Marvin Williams,willima02,28.9
Mo Williams,willima01,18.2
Justise Winslow,winslju01,28.6
Jeff Withey,witheje01,12.9
Christian Wood,woodch01,8.5
Metta World Peace,artesro01,16.9
Brandan Wright,wrighbr03,17.7
Delon Wright,wrighde01,8.5
Tony Wroten,wroteto01,18
James Young,youngja01,6.9
Joe Young,youngjo01,9.4
Nick Young,youngni01,19.1
Thaddeus Young,youngth01,33
Cody Zeller,zelleco01,24.3
Tyler Zeller,zellety01,11.8
,,
,,
,,
,,
,,
,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leagues/NBA_2016_per_game.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#per_game_stats"">View Original Table</a><br>Generated 12/9/2021.",,
